Fecha,tas [K]
1864-10-16 12:00:00,288.87384
1864-11-16 00:00:00,289.44476
1864-12-16 12:00:00,289.5206
1865-01-16 12:00:00,290.71185
1865-02-15 00:00:00,291.04132
1865-03-16 12:00:00,291.44525
1865-04-16 00:00:00,291.18713
1865-05-16 12:00:00,291.2238
1865-06-16 00:00:00,289.68518
1865-07-16 12:00:00,289.78958
1865-08-16 12:00:00,288.3891
1865-09-16 00:00:00,289.50024
1865-10-16 12:00:00,290.16074
1865-11-16 00:00:00,289.56116
1865-12-16 12:00:00,289.94125
1866-01-16 12:00:00,291.40585
1866-02-15 00:00:00,292.65646
1866-03-16 12:00:00,292.94006
1866-04-16 00:00:00,292.54523
1866-05-16 12:00:00,291.74237
1866-06-16 00:00:00,291.5097
1866-07-16 12:00:00,289.98743
1866-08-16 12:00:00,289.46002
1866-09-16 00:00:00,289.09308
1866-10-16 12:00:00,289.01248
1866-11-16 00:00:00,290.14557
1866-12-16 12:00:00,290.76285
1867-01-16 12:00:00,292.528
1867-02-15 00:00:00,293.34576
1867-03-16 12:00:00,292.96088
1867-04-16 00:00:00,291.4201
1867-05-16 12:00:00,289.64655
1867-06-16 00:00:00,291.38272
1867-07-16 12:00:00,289.89313
1867-08-16 12:00:00,289.35886
1867-09-16 00:00:00,290.84955
1867-10-16 12:00:00,289.64767
1867-11-16 00:00:00,289.7681
1867-12-16 12:00:00,291.08575
1868-01-16 12:00:00,292.26996
1868-02-15 12:00:00,292.79584
1868-03-16 12:00:00,292.6974
1868-04-16 00:00:00,292.1004
1868-05-16 12:00:00,291.26282
1868-06-16 00:00:00,289.71997
1868-07-16 12:00:00,289.32877
1868-08-16 12:00:00,289.5363
1868-09-16 00:00:00,288.53436
1868-10-16 12:00:00,289.57776
1868-11-16 00:00:00,290.07938
1868-12-16 12:00:00,291.0515
1869-01-16 12:00:00,291.83856
1869-02-15 00:00:00,291.86658
1869-03-16 12:00:00,292.1449
1869-04-16 00:00:00,291.7486
1869-05-16 12:00:00,290.4962
1869-06-16 00:00:00,288.01465
1869-07-16 12:00:00,289.5274
1869-08-16 12:00:00,289.66925
1869-09-16 00:00:00,289.58545
1869-10-16 12:00:00,289.32532
1869-11-16 00:00:00,288.72888
1869-12-16 12:00:00,289.05792
1870-01-16 12:00:00,289.85764
1870-02-15 00:00:00,291.67007
1870-03-16 12:00:00,291.28107
1870-04-16 00:00:00,291.714
1870-05-16 12:00:00,289.94897
1870-06-16 00:00:00,289.74396
1870-07-16 12:00:00,288.64313
1870-08-16 12:00:00,288.12903
1870-09-16 00:00:00,288.26868
1870-10-16 12:00:00,289.17517
1870-11-16 00:00:00,290.43176
